Artist,Track Name,Popularity,Duration (ms),Track ID
Drake,One Dance,94,173986,1zi7xx7UVEFkmKfv06H8x0
Drake,IDGAF (feat. Yeat),90,260111,2YSzYUF3jWqb9YP9VXmpjE
Drake,First Person Shooter (feat. J. Cole),88,247444,7aqfrAY2p9BUSiupwk3svU
Drake,Jimmy Cooks (feat. 21 Savage),88,218364,3F5CgOj3wFlRv51JsHbxhe
Drake,God's Plan,87,198973,6DCZcSspjsKoFjzjrWoCdn
Travis Scott,MELTDOWN (feat. Drake),86,246133,67nepsnrcZkowTxMWigSbb
Drake,Fair Trade (with Travis Scott),85,291175,40iJIUlhi6renaREYGeIDS
Drake,Rich Flex,85,239359,1bDbXMyjaUIooNwFE9wn0N
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,87,157560,0RiRZpuVRbi7oqRdSMwhQY
Post Malone,Circles,88,215280,21jGcNKet2qwijlDFuPiPb
Noah Kahan,Dial Drunk (with Post Malone),86,213817,22VHOlVYBqytsrAqV8yXBK
Post Malone,rockstar (feat. 21 Savage),85,218146,0e7ipj03S05BNilyu5bRzt
Post Malone,Congratulations,84,220293,3a1lNhkSLSkpJE4MSHpDu9
Post Malone,Wow.,84,149546,7xQAfvXzm3AkraOtGPWIZg
Post Malone,Better Now,83,231266,7dt6x5M1jzdTEt8oCbisTK
Travis Scott,I KNOW ?,90,211582,6wsqVwoiVH2kde4k4KKAFU
Travis Scott,MY EYES,92,251249,4kjI1gwQZRKNDkw1nI475M
Travis Scott,goosebumps,89,243836,6gBFPUFcJLzWGx4lenP6h2
21 Savage,née-nah,88,220584,2yUzr8Sr6ldG8vmHhZwTnz
Metro Boomin,Trance (with Travis Scott & Young Thug),89,194786,5wG3HvLhF6Y5KTGlK0IW3J
SZA,Open Arms (feat. Travis Scott),81,239613,6koKhrBBcExADvWuOgceNZ
Travis Scott,SICKO MODE,87,312820,2xLMifQCjDGFmkHkpNLD9h
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),78,212352,5Z9KJZvQzH6PFmb8SNkxuk
Jack Harlow,I WANNA SEE SOME ASS (feat. jetsonmade),71,125302,2aWVaW1p2kUc5yuKwBmRJi
